instance_name,module,x0,y0,x1,y1,orientation
upper_enable_stage,decoder_gate_cells_v3,18.0,4.2,41.0975,10.1425,R0
lower_wordline_stage_0,decoder_gate_cells_v3,38.0,8.4,61.0975,14.3425,R0
lower_wordline_stage_1,decoder_gate_cells_v3,38.0,0.0,61.0975,5.9425,R0
decoder_top,decoder_top_v3,16.3325,-2.0675,62.365,27.0675,R0
bitcell_array_quad_0,bitcell_array,90.0,0.0,105.265,26.285,R0
wl_driver_0,wordline_driver_v2,67.365,2.2425,69.525,4.13,R0
wl_driver_1,wordline_driver_v2,71.525,4.6525,73.685,6.54,R0
wl_driver_2,wordline_driver_v2,67.365,4.9725,69.525,6.86,R0
wl_driver_3,wordline_driver_v2,71.525,7.3825,73.685,9.27,R0
wl_driver_4,wordline_driver_v2,67.365,7.7025,69.525,9.59,R0
wl_driver_5,wordline_driver_v2,71.525,10.1125,73.685,12.0,R0
wl_driver_6,wordline_driver_v2,67.365,10.4325,69.525,12.32,R0
wl_driver_7,wordline_driver_v2,71.525,12.8425,73.685,14.73,R0
wl_driver_8,wordline_driver_v2,67.365,13.1625,69.525,15.05,R0
wl_driver_9,wordline_driver_v2,71.525,15.5725,73.685,17.46,R0
wl_driver_10,wordline_driver_v2,67.365,15.8925,69.525,17.78,R0
wl_driver_11,wordline_driver_v2,71.525,18.3025,73.685,20.19,R0
wl_driver_12,wordline_driver_v2,67.365,18.6225,69.525,20.51,R0
wl_driver_13,wordline_driver_v2,71.525,21.0325,73.685,22.92,R0
wl_driver_14,wordline_driver_v2,67.365,21.3525,69.525,23.24,R0
wl_driver_15,wordline_driver_v2,71.525,23.7625,73.685,25.65,R0
