instance,x,y,cell_width,cell_height,nonzero_gap_reason
ADDR_DFF[0],0.0,36.0,2.8599999999999826,2.6699999999999835,minimum routing/pin access channel after sink-aware clustering
ADDR_DFF[1],3.2,36.0,2.8599999999999826,2.6699999999999835,minimum routing/pin access channel after sink-aware clustering
ADDR_DFF[2],6.4,36.0,2.8599999999999826,2.6699999999999835,minimum routing/pin access channel after sink-aware clustering
ADDR_DFF[3],9.6,36.0,2.8599999999999826,2.6699999999999835,minimum routing/pin access channel after sink-aware clustering
DATA_DFF[0],68.0,-4.0,2.8599999999999826,2.6699999999999835,minimum routing/pin access channel after sink-aware clustering
DATA_DFF[1],71.2,-4.0,2.8599999999999826,2.6699999999999835,minimum routing/pin access channel after sink-aware clustering
DATA_DFF[2],74.4,-4.0,2.8599999999999826,2.6699999999999835,minimum routing/pin access channel after sink-aware clustering
DATA_DFF[3],77.60000000000001,-4.0,2.8599999999999826,2.6699999999999835,minimum routing/pin access channel after sink-aware clustering
DATA_DFF[4],80.8,-4.0,2.8599999999999826,2.6699999999999835,minimum routing/pin access channel after sink-aware clustering
DATA_DFF[5],84.0,-4.0,2.8599999999999826,2.6699999999999835,minimum routing/pin access channel after sink-aware clustering
DATA_DFF[6],87.2,-4.0,2.8599999999999826,2.6699999999999835,minimum routing/pin access channel after sink-aware clustering
DATA_DFF[7],90.4,-4.0,2.8599999999999826,2.6699999999999835,minimum routing/pin access channel after sink-aware clustering
DATA_DFF[8],68.0,-0.9,2.8599999999999826,2.6699999999999835,minimum routing/pin access channel after sink-aware clustering
DATA_DFF[9],71.2,-0.9,2.8599999999999826,2.6699999999999835,minimum routing/pin access channel after sink-aware clustering
DATA_DFF[10],74.4,-0.9,2.8599999999999826,2.6699999999999835,minimum routing/pin access channel after sink-aware clustering
DATA_DFF[11],77.60000000000001,-0.9,2.8599999999999826,2.6699999999999835,minimum routing/pin access channel after sink-aware clustering
DATA_DFF[12],80.8,-0.9,2.8599999999999826,2.6699999999999835,minimum routing/pin access channel after sink-aware clustering
DATA_DFF[13],84.0,-0.9,2.8599999999999826,2.6699999999999835,minimum routing/pin access channel after sink-aware clustering
DATA_DFF[14],87.2,-0.9,2.8599999999999826,2.6699999999999835,minimum routing/pin access channel after sink-aware clustering
DATA_DFF[15],90.4,-0.9,2.8599999999999826,2.6699999999999835,minimum routing/pin access channel after sink-aware clustering
